"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B"
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.549177141,2.9829318871
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.549177141,2.9922594062
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.549177141,17.944785276
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.549177141,22.193110141
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",15.717525105,2.9829318871
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",15.717525105,2.9922594062
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",15.717525105,17.944785276
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",15.717525105,22.193110141
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",17.944785276,2.9829318871
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",17.944785276,2.9922594062
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",22.193110141,2.9829318871
6373539,"05/07/2014 10:08:48 AM","THIPRO","FRUIT","DRIEDFRUIT","CRISPY FRUITS - PEAR","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",22.193110141,2.9922594062
6397403,"15/07/2014 11:32:08 AM","SRS","MEATP_RAW","NONE","PLU 8802 - STICKY BBQ PORK RIBS BBD: 21/07/2014 COMPOSITE OF 3","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.5072790549,1.5283234848
6397403,"15/07/2014 11:32:08 AM","SRS","MEATP_RAW","NONE","PLU 8802 - STICKY BBQ PORK RIBS BBD: 21/07/2014 COMPOSITE OF 3","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",1.5072790549,1.5470902012
6475153,"11/08/2014 02:24:47 PM","SUNB","DRIEDFRUIT","NONE","SAMPLES 316-322, PRUNES, DATES, SULTANAS, APRICOTS & APPLE SLICES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",11.020125576,9.3655725156
