"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5842295,"08/01/2014 10:58:40 AM","MEAT_PROD","NONE","MDM 90003 SLAUGHTER DATE 06/01/2014 BEST BEFORE DATE 06/01/2016","ASHS040493","Ash @ 550°C","G_P_100G","0.9185989774","09/01/2014 02:26:15 PM",1,5842295,"08JAN14/5842295",TRUE,"","A","BAIHANW","DTS1401255"
5843413,"08/01/2014 01:48:48 PM","MEAT_PROD","CHICKEN","REF NO: #114, SMOKED CHICKEN FILLET- SAMPLE","ASHS040493","Ash @ 550°C","G_P_100G","2.6311603917","09/01/2014 02:26:16 PM",1,5843413,"08JAN14/5843413",TRUE,"","A","RIDDER","DTS1401351"
5843873,"08/01/2014 03:40:03 PM","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","1.6807143036","10/01/2014 03:51:26 PM",1,5843873,"08JAN14/5843873",TRUE,"2014000005","A","U4","DTS1401392"
5843874,"08/01/2014 03:40:05 PM","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","1.709962169","10/01/2014 03:51:27 PM",1,5843874,"08JAN14/5843874",TRUE,"2014000007","A","U4","DTS1401392"
5843875,"08/01/2014 03:40:07 PM","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","18.658380735","10/01/2014 03:51:28 PM",1,5843875,"08JAN14/5843875",TRUE,"2014000009","X","U4","DTS1401392"
5843875,"08/01/2014 03:40:07 PM","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","1.559395357","14/01/2014 08:21:34 AM",2,5843875,"08JAN14/5843875",TRUE,"2014000009","A","U4","DTS1401392"
5843875,"08/01/2014 03:40:07 PM","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","1.4584627246","14/01/2014 08:21:34 AM",3,5843875,"08JAN14/5843875",TRUE,"2014000009","X","U4","DTS1401392"
5844147,"08/01/2014 04:36:52 PM","CEREAL_PRD","MISC_BAKED","CHOC DH, SALTED CARAMEL DH, CUSTARD DH, BLOOD ORANGE DH, CRANBERRY & POM DH & PASSIONFRUIT DH","ASHS040493","Ash @ 550°C","G_P_100G","2.3615635179","09/01/2014 02:26:16 PM",1,5844147,"08JAN14/5844147",TRUE,"CHOC DH","A","ALLKIN","DTS1401405"
5844148,"08/01/2014 04:36:59 PM","CEREAL_PRD","MISC_BAKED","CHOC DH, SALTED CARAMEL DH, CUSTARD DH, BLOOD ORANGE DH, CRANBERRY & POM DH & PASSIONFRUIT DH","ASHS040493","Ash @ 550°C","G_P_100G","2.5212961774","09/01/2014 02:26:16 PM",1,5844148,"08JAN14/5844148",TRUE,"SALTED CARAMEL DH","A","ALLKIN","DTS1401405"
5844149,"08/01/2014 04:37:05 PM","CEREAL_PRD","MISC_BAKED","CHOC DH, SALTED CARAMEL DH, CUSTARD DH, BLOOD ORANGE DH, CRANBERRY & POM DH & PASSIONFRUIT DH","ASHS040493","Ash @ 550°C","G_P_100G","2.2415111089","09/01/2014 02:26:16 PM",1,5844149,"08JAN14/5844149",TRUE,"CUSTARD DH","A","ALLKIN","DTS1401405"
5844150,"08/01/2014 04:37:11 PM","CEREAL_PRD","MISC_BAKED","CHOC DH, SALTED CARAMEL DH, CUSTARD DH, BLOOD ORANGE DH, CRANBERRY & POM DH & PASSIONFRUIT DH","ASHS040493","Ash @ 550°C","G_P_100G","2.1799986775","09/01/2014 02:26:16 PM",1,5844150,"08JAN14/5844150",TRUE,"BLOOD & ORANGE DH","A","ALLKIN","DTS1401405"
5844151,"08/01/2014 04:37:18 PM","CEREAL_PRD","MISC_BAKED","CHOC DH, SALTED CARAMEL DH, CUSTARD DH, BLOOD ORANGE DH, CRANBERRY & POM DH & PASSIONFRUIT DH","ASHS040493","Ash @ 550°C","G_P_100G","2.194828623","09/01/2014 02:26:16 PM",1,5844151,"08JAN14/5844151",TRUE,"CRANBERRY & POM DH","A","ALLKIN","DTS1401405"
5844152,"08/01/2014 04:37:24 PM","CEREAL_PRD","MISC_BAKED","CHOC DH, SALTED CARAMEL DH, CUSTARD DH, BLOOD ORANGE DH, CRANBERRY & POM DH & PASSIONFRUIT DH","ASHS040493","Ash @ 550°C","G_P_100G","2.2343126587","09/01/2014 02:26:16 PM",1,5844152,"08JAN14/5844152",TRUE,"PASSIONFRUIT DH","A","ALLKIN","DTS1401405"
5844168,"08/01/2014 04:49:56 PM","MISC_FOOD","LIQUID STO","SSVS SUE SHEPHERD VEGETABLE STOCK 500ML","ASHS040493","Ash @ 550°C","G_P_100G","0.8379980789","10/01/2014 03:51:25 PM",1,5844168,"08JAN14/5844168",TRUE,"","A","NOTAT","DTS1401406"
5844981,"09/01/2014 07:38:14 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.7398615232","09/01/2014 02:26:15 PM",1,5844981,"QC-IRM001-5844981",TRUE,"In house standard reference material (batch analysis)","E","",""
5844982,"09/01/2014 07:38:52 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G","2.7352351128","09/01/2014 02:26:16 PM",1,5844982,"QC-IRM001-5844982",TRUE,"In house standard reference material (batch analysis)","E","",""
5845193,"09/01/2014 08:09:41 AM","MISC_PROD","NONE","Fajita Mix (Seasoning) 2121-01","ASHS040493","Ash @ 550°C","G_P_100G","15.194603956","14/01/2014 08:21:50 AM",1,5845193,"09JAN14/5845193",TRUE,"Fajita Mix (Seasoning) 2121-01 DOM : 15/11/2013 Batch :","A","GRUM","DTS1401511"
5845226,"09/01/2014 08:14:19 AM","CEREAL_PRD","NONE","TEST 798R : Mission 10"" Super Soft Mediterranean Wraps","ASHS040493","Ash @ 550°C","G_P_100G","2.6405804613","14/01/2014 08:21:48 AM",1,5845226,"09JAN14/5845226",TRUE,"TEST 798R : Mission 10"" Super Soft Mediterranean Wraps DOM : 9/1/2014 Batch :  09/04/2014 07:28L1, 07:29L1, 07:31L1","A","GRUM","DTS1401518"
5845237,"09/01/2014 08:18:59 AM","CEREAL_PRD","NONE","Test 833:CIBO Expresso Piadina","ASHS040493","Ash @ 550°C","G_P_100G","1.6002254721","14/01/2014 08:21:49 AM",1,5845237,"09JAN14/5845237",TRUE,"Test 833:CIBO Expresso Piadina DOM :  1/8/2014 Batch :  08/01/15","A","GRUM","DTS1401520"
5845471,"09/01/2014 09:07:23 AM","CANNEDFOOD","CANNEDFOOD","Apricot Halves 403157R","ASHS040493","Ash @ 550°C","G_P_100G","0.2547834341","14/01/2014 08:10:55 AM",1,5845471,"10JAN14/5845471",TRUE,"Apricot Halves 403157R DOM :  M18LS","A","SPCRD","DTS1401548"
5845472,"09/01/2014 09:07:25 AM","CANNEDFOOD","CANNEDFOOD","Diced Apricots 00603417912B","ASHS040493","Ash @ 550°C","G_P_100G","0.2104988637","14/01/2014 08:10:54 AM",1,5845472,"10JAN14/5845472",TRUE,"Diced Apricots 00603417912B DOM :  6.1.14","A","SPCRD","DTS1401548"
