"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5901460,"28/01/2014 09:51:16 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8374267944,2014-01-29 11:00:00,1,5901460,"QC-IRM001A-5901460",TRUE,"In house standard reference material (batch analysis)","E","",""
5904293,"29/01/2014 08:26:23 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8978584508,2014-01-29 19:00:00,1,5904293,"QC-IRM001-5904293",TRUE,"In house standard reference material (batch analysis)","E","",""
5904307,"29/01/2014 08:28:05 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7881604202,2014-01-29 19:00:00,1,5904307,"QC-IRM001-5904307",TRUE,"In house standard reference material (batch analysis)","E","",""
5906357,"29/01/2014 01:24:47 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8546474212,2014-01-30 10:00:00,1,5906357,"QC-IRM001-5906357",TRUE,"In house standard reference material (batch analysis)","E","",""
5908614,"30/01/2014 09:57:10 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8698464026,2014-01-31 07:00:00,1,5908614,"QC-IRM001-5908614",TRUE,"In house standard reference material (batch analysis)","E","",""
5908618,"30/01/2014 09:59:10 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8573320531,2014-01-31 07:00:00,1,5908618,"QC-IRM001-5908618",TRUE,"In house standard reference material (batch analysis)","E","",""
5912557,"31/01/2014 06:50:50 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8624449084,2014-01-31 18:00:00,1,5912557,"QC-IRM001A-5912557",TRUE,"In house standard reference material (batch analysis)","E","",""
5912566,"31/01/2014 06:52:29 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8697683868,2014-01-31 18:00:00,1,5912566,"QC-IRM001A-5912566",TRUE,"In house standard reference material (batch analysis)","E","",""
5913261,"31/01/2014 10:13:00 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7740856665,2014-02-01 09:00:00,1,5913261,"QC-IRM001A-5913261",TRUE,"In house standard reference material (batch analysis)","E","",""
5913265,"31/01/2014 10:14:11 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8214790391,2014-02-01 09:00:00,1,5913265,"QC-IRM001A-5913265",TRUE,"In house standard reference material (batch analysis)","E","",""
5919180,"03/02/2014 09:28:07 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7620501206,2014-02-04 08:00:00,1,5919180,"QC-IRM001-5919180",TRUE,"In house standard reference material (batch analysis)","E","",""
5919182,"03/02/2014 09:32:27 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8121428926,2014-02-04 08:00:00,1,5919182,"QC-IRM001-5919182",TRUE,"In house standard reference material (batch analysis)","E","",""
5922205,"04/02/2014 08:03:09 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8000823554,2014-02-05 07:00:00,1,5922205,"QC-IRM001A-5922205",TRUE,"In house standard reference material (batch analysis)","E","",""
5922222,"04/02/2014 08:04:17 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7819060004,2014-02-05 07:00:00,1,5922222,"QC-IRM001A-5922222",TRUE,"In house standard reference material (batch analysis)","E","",""
5922236,"04/02/2014 08:05:33 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8216424929,2014-02-04 19:00:00,1,5922236,"QC-IRM001A-5922236",TRUE,"In house standard reference material (batch analysis)","E","",""
5922253,"04/02/2014 08:06:52 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8356881731,2014-02-04 19:00:00,1,5922253,"QC-IRM001A-5922253",TRUE,"In house standard reference material (batch analysis)","E","",""
5922842,"04/02/2014 09:38:12 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8437810005,2014-02-05 07:00:00,1,5922842,"QC-IRM001A-5922842",TRUE,"In house standard reference material (batch analysis)","E","",""
5922909,"04/02/2014 09:39:32 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.820474556,2014-02-05 07:00:00,1,5922909,"QC-IRM001A-5922909",TRUE,"In house standard reference material (batch analysis)","E","",""
5925294,"05/02/2014 06:50:57 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.835089082,2014-02-06 08:00:00,1,5925294,"QC-IRM001A-5925294",TRUE,"In house standard reference material (batch analysis)","E","",""
5925295,"05/02/2014 06:52:17 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8017450315,2014-02-06 08:00:00,1,5925295,"QC-IRM001A-5925295",TRUE,"In house standard reference material (batch analysis)","E","",""
5929816,"06/02/2014 08:37:17 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7940349833,2014-02-07 08:00:00,1,5929816,"QC-IRM001-5929816",TRUE,"In house standard reference material (batch analysis)","E","",""
5929837,"06/02/2014 08:40:00 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7699435939,2014-02-07 08:00:00,1,5929837,"QC-IRM001-5929837",TRUE,"In house standard reference material (batch analysis)","E","",""
5931250,"06/02/2014 12:18:20 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8237951807,2014-02-07 09:00:00,1,5931250,"QC-IRM001-5931250",TRUE,"In house standard reference material (batch analysis)","E","",""
5931255,"06/02/2014 12:18:58 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8044006479,2014-02-07 09:00:00,1,5931255,"QC-IRM001-5931255",TRUE,"In house standard reference material (batch analysis)","E","",""
5933250,"07/02/2014 07:11:03 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8820960699,2014-02-08 12:00:00,1,5933250,"QC-IRM001-5933250",TRUE,"In house standard reference material (batch analysis)","E","",""
5933256,"07/02/2014 07:12:31 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8665436961,2014-02-08 12:00:00,1,5933256,"QC-IRM001-5933256",TRUE,"In house standard reference material (batch analysis)","E","",""
5933257,"07/02/2014 07:13:56 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7882441598,2014-02-08 10:00:00,1,5933257,"QC-IRM001-5933257",TRUE,"In house standard reference material (batch analysis)","E","",""
5933258,"07/02/2014 07:14:42 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7878908783,2014-02-08 10:00:00,1,5933258,"QC-IRM001-5933258",TRUE,"In house standard reference material (batch analysis)","E","",""
